"IndicatorName","MeasureType","GeoType","GeoEntity","TimePeriod","DataValue","UnreliabilityFlag"
"Children Under 5 in Poverty","Number","Citywide","1","2009-13 ACS","151635","0"
"Children Under 5 in Poverty","Percent","Citywide","1","2009-13 ACS","28.8","0"
"Children Under 5 in Poverty","Number","Borough","1","2009-13 ACS","43188","0"
"Children Under 5 in Poverty","Percent","Borough","1","2009-13 ACS","42.12","0"
"Children Under 5 in Poverty","Number","Borough","2","2009-13 ACS","61920","0"
"Children Under 5 in Poverty","Percent","Borough","2","2009-13 ACS","33.98","0"
"Children Under 5 in Poverty","Number","Borough","3","2009-13 ACS","15624","0"
"Children Under 5 in Poverty","Percent","Borough","3","2009-13 ACS","19.69","0"
"Children Under 5 in Poverty","Number","Borough","4","2009-13 ACS","25500","0"
"Children Under 5 in Poverty","Percent","Borough","4","2009-13 ACS","18.97","0"
"Children Under 5 in Poverty","Number","Borough","5","2009-13 ACS","5403","0"
"Children Under 5 in Poverty","Percent","Borough","5","2009-13 ACS","19.28","0"
"Children Under 5 in Poverty","Number","Subboro","1","2009-13 ACS","6889","0"
"Children Under 5 in Poverty","Percent","Subboro","1","2009-13 ACS","55.54","0"
"Children Under 5 in Poverty","Rank","Subboro","1","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","2","2009-13 ACS","7569","0"
"Children Under 5 in Poverty","Percent","Subboro","2","2009-13 ACS","54.96","0"
"Children Under 5 in Poverty","Rank","Subboro","2","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","3","2009-13 ACS","5231","0"
"Children Under 5 in Poverty","Percent","Subboro","3","2009-13 ACS","48.11","0"
"Children Under 5 in Poverty","Rank","Subboro","3","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","4","2009-13 ACS","5740","0"
"Children Under 5 in Poverty","Percent","Subboro","4","2009-13 ACS","55.58","0"
"Children Under 5 in Poverty","Rank","Subboro","4","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","5","2009-13 ACS","3964","0"
"Children Under 5 in Poverty","Percent","Subboro","5","2009-13 ACS","38.36","0"
"Children Under 5 in Poverty","Rank","Subboro","5","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","6","2009-13 ACS","1643","0"
"Children Under 5 in Poverty","Percent","Subboro","6","2009-13 ACS","23.26","0"
"Children Under 5 in Poverty","Rank","Subboro","6","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","7","2009-13 ACS","5438","0"
"Children Under 5 in Poverty","Percent","Subboro","7","2009-13 ACS","39.06","0"
"Children Under 5 in Poverty","Rank","Subboro","7","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","8","2009-13 ACS","1153","0"
"Children Under 5 in Poverty","Percent","Subboro","8","2009-13 ACS","21.88","0"
"Children Under 5 in Poverty","Rank","Subboro","8","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","9","2009-13 ACS","2424","0"
"Children Under 5 in Poverty","Percent","Subboro","9","2009-13 ACS","29.36","0"
"Children Under 5 in Poverty","Rank","Subboro","9","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","10","2009-13 ACS","3137","0"
"Children Under 5 in Poverty","Percent","Subboro","10","2009-13 ACS","30.4","0"
"Children Under 5 in Poverty","Rank","Subboro","10","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","11","2009-13 ACS","5806","0"
"Children Under 5 in Poverty","Percent","Subboro","11","2009-13 ACS","50.56","0"
"Children Under 5 in Poverty","Rank","Subboro","11","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","12","2009-13 ACS","1971","0"
"Children Under 5 in Poverty","Percent","Subboro","12","2009-13 ACS","23.58","0"
"Children Under 5 in Poverty","Rank","Subboro","12","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","13","2009-13 ACS","5985","0"
"Children Under 5 in Poverty","Percent","Subboro","13","2009-13 ACS","48.62","0"
"Children Under 5 in Poverty","Rank","Subboro","13","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","14","2009-13 ACS","4067","0"
"Children Under 5 in Poverty","Percent","Subboro","14","2009-13 ACS","43.22","0"
"Children Under 5 in Poverty","Rank","Subboro","14","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","15","2009-13 ACS","5547","0"
"Children Under 5 in Poverty","Percent","Subboro","15","2009-13 ACS","47.25","0"
"Children Under 5 in Poverty","Rank","Subboro","15","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","16","2009-13 ACS","396","0"
"Children Under 5 in Poverty","Percent","Subboro","16","2009-13 ACS","5","0"
"Children Under 5 in Poverty","Rank","Subboro","16","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","17","2009-13 ACS","4260","0"
"Children Under 5 in Poverty","Percent","Subboro","17","2009-13 ACS","38.82","0"
"Children Under 5 in Poverty","Rank","Subboro","17","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","18","2009-13 ACS","2991","0"
"Children Under 5 in Poverty","Percent","Subboro","18","2009-13 ACS","36.26","0"
"Children Under 5 in Poverty","Rank","Subboro","18","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","19","2009-13 ACS","2348","0"
"Children Under 5 in Poverty","Percent","Subboro","19","2009-13 ACS","29.2","0"
"Children Under 5 in Poverty","Rank","Subboro","19","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","20","2009-13 ACS","1741","0"
"Children Under 5 in Poverty","Percent","Subboro","20","2009-13 ACS","21.04","0"
"Children Under 5 in Poverty","Rank","Subboro","20","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","21","2009-13 ACS","2268","0"
"Children Under 5 in Poverty","Percent","Subboro","21","2009-13 ACS","21.32","0"
"Children Under 5 in Poverty","Rank","Subboro","21","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","22","2009-13 ACS","8587","0"
"Children Under 5 in Poverty","Percent","Subboro","22","2009-13 ACS","46.42","0"
"Children Under 5 in Poverty","Rank","Subboro","22","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","23","2009-13 ACS","1691","0"
"Children Under 5 in Poverty","Percent","Subboro","23","2009-13 ACS","32.6","0"
"Children Under 5 in Poverty","Rank","Subboro","23","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","24","2009-13 ACS","3212","0"
"Children Under 5 in Poverty","Percent","Subboro","24","2009-13 ACS","28.44","0"
"Children Under 5 in Poverty","Rank","Subboro","24","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","25","2009-13 ACS","1791","0"
"Children Under 5 in Poverty","Percent","Subboro","25","2009-13 ACS","20.97","0"
"Children Under 5 in Poverty","Rank","Subboro","25","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","26","2009-13 ACS","5483","0"
"Children Under 5 in Poverty","Percent","Subboro","26","2009-13 ACS","52.89","0"
"Children Under 5 in Poverty","Rank","Subboro","26","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","27","2009-13 ACS","1892","0"
"Children Under 5 in Poverty","Percent","Subboro","27","2009-13 ACS","22.13","0"
"Children Under 5 in Poverty","Rank","Subboro","27","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","28","2009-13 ACS","1884","0"
"Children Under 5 in Poverty","Percent","Subboro","28","2009-13 ACS","15.19","0"
"Children Under 5 in Poverty","Rank","Subboro","28","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","29","2009-13 ACS","225","0"
"Children Under 5 in Poverty","Percent","Subboro","29","2009-13 ACS","3.18","0"
"Children Under 5 in Poverty","Rank","Subboro","29","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","30","2009-13 ACS","1391","0"
"Children Under 5 in Poverty","Percent","Subboro","30","2009-13 ACS","25.39","0"
"Children Under 5 in Poverty","Rank","Subboro","30","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","31","2009-13 ACS","595","0"
"Children Under 5 in Poverty","Percent","Subboro","31","2009-13 ACS","12.3","0"
"Children Under 5 in Poverty","Rank","Subboro","31","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","32","2009-13 ACS","63","0"
"Children Under 5 in Poverty","Percent","Subboro","32","2009-13 ACS","1.22","0"
"Children Under 5 in Poverty","Rank","Subboro","32","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","33","2009-13 ACS","500","0"
"Children Under 5 in Poverty","Percent","Subboro","33","2009-13 ACS","4.25","0"
"Children Under 5 in Poverty","Rank","Subboro","33","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","34","2009-13 ACS","283","0"
"Children Under 5 in Poverty","Percent","Subboro","34","2009-13 ACS","2.48","0"
"Children Under 5 in Poverty","Rank","Subboro","34","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","35","2009-13 ACS","2171","0"
"Children Under 5 in Poverty","Percent","Subboro","35","2009-13 ACS","36.42","0"
"Children Under 5 in Poverty","Rank","Subboro","35","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","36","2009-13 ACS","3033","0"
"Children Under 5 in Poverty","Percent","Subboro","36","2009-13 ACS","35.16","0"
"Children Under 5 in Poverty","Rank","Subboro","36","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","37","2009-13 ACS","3261","0"
"Children Under 5 in Poverty","Percent","Subboro","37","2009-13 ACS","46.89","0"
"Children Under 5 in Poverty","Rank","Subboro","37","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","38","2009-13 ACS","4102","0"
"Children Under 5 in Poverty","Percent","Subboro","38","2009-13 ACS","33.94","0"
"Children Under 5 in Poverty","Rank","Subboro","38","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","39","2009-13 ACS","1678","0"
"Children Under 5 in Poverty","Percent","Subboro","39","2009-13 ACS","20.8","0"
"Children Under 5 in Poverty","Rank","Subboro","39","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","40","2009-13 ACS","1042","0"
"Children Under 5 in Poverty","Percent","Subboro","40","2009-13 ACS","15.23","0"
"Children Under 5 in Poverty","Rank","Subboro","40","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","41","2009-13 ACS","3058","0"
"Children Under 5 in Poverty","Percent","Subboro","41","2009-13 ACS","25.69","0"
"Children Under 5 in Poverty","Rank","Subboro","41","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","42","2009-13 ACS","2363","0"
"Children Under 5 in Poverty","Percent","Subboro","42","2009-13 ACS","25.18","0"
"Children Under 5 in Poverty","Rank","Subboro","42","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","43","2009-13 ACS","2165","0"
"Children Under 5 in Poverty","Percent","Subboro","43","2009-13 ACS","20.8","0"
"Children Under 5 in Poverty","Rank","Subboro","43","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","44","2009-13 ACS","473","0"
"Children Under 5 in Poverty","Percent","Subboro","44","2009-13 ACS","7.26","0"
"Children Under 5 in Poverty","Rank","Subboro","44","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","45","2009-13 ACS","1404","0"
"Children Under 5 in Poverty","Percent","Subboro","45","2009-13 ACS","11.49","0"
"Children Under 5 in Poverty","Rank","Subboro","45","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","46","2009-13 ACS","2113","0"
"Children Under 5 in Poverty","Percent","Subboro","46","2009-13 ACS","20.19","0"
"Children Under 5 in Poverty","Rank","Subboro","46","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","47","2009-13 ACS","1652","0"
"Children Under 5 in Poverty","Percent","Subboro","47","2009-13 ACS","17.04","0"
"Children Under 5 in Poverty","Rank","Subboro","47","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","48","2009-13 ACS","1189","0"
"Children Under 5 in Poverty","Percent","Subboro","48","2009-13 ACS","16.04","0"
"Children Under 5 in Poverty","Rank","Subboro","48","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","49","2009-13 ACS","492","0"
"Children Under 5 in Poverty","Percent","Subboro","49","2009-13 ACS","7.22","0"
"Children Under 5 in Poverty","Rank","Subboro","49","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","50","2009-13 ACS","3792","0"
"Children Under 5 in Poverty","Percent","Subboro","50","2009-13 ACS","26.79","0"
"Children Under 5 in Poverty","Rank","Subboro","50","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","51","2009-13 ACS","1291","0"
"Children Under 5 in Poverty","Percent","Subboro","51","2009-13 ACS","11.9","0"
"Children Under 5 in Poverty","Rank","Subboro","51","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","52","2009-13 ACS","2788","0"
"Children Under 5 in Poverty","Percent","Subboro","52","2009-13 ACS","28.7","0"
"Children Under 5 in Poverty","Rank","Subboro","52","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","53","2009-13 ACS","3909","0"
"Children Under 5 in Poverty","Percent","Subboro","53","2009-13 ACS","30.93","0"
"Children Under 5 in Poverty","Rank","Subboro","53","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","Subboro","54","2009-13 ACS","908","0"
"Children Under 5 in Poverty","Percent","Subboro","54","2009-13 ACS","12.51","0"
"Children Under 5 in Poverty","Rank","Subboro","54","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","Subboro","55","2009-13 ACS","586","0"
"Children Under 5 in Poverty","Percent","Subboro","55","2009-13 ACS","7.21","0"
"Children Under 5 in Poverty","Rank","Subboro","55","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","UHF42","101","2009-13 ACS","1281","0"
"Children Under 5 in Poverty","Percent","UHF42","101","2009-13 ACS","21.9","0"
"Children Under 5 in Poverty","Rank","UHF42","101","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","UHF42","102","2009-13 ACS","2846","0"
"Children Under 5 in Poverty","Percent","UHF42","102","2009-13 ACS","24.41","0"
"Children Under 5 in Poverty","Rank","UHF42","102","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","UHF42","103","2009-13 ACS","8259","0"
"Children Under 5 in Poverty","Percent","UHF42","103","2009-13 ACS","42.31","0"
"Children Under 5 in Poverty","Rank","UHF42","103","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","104","2009-13 ACS","7098","0"
"Children Under 5 in Poverty","Percent","UHF42","104","2009-13 ACS","33.88","0"
"Children Under 5 in Poverty","Rank","UHF42","104","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","UHF42","105","2009-13 ACS","8894","0"
"Children Under 5 in Poverty","Percent","UHF42","105","2009-13 ACS","53.77","0"
"Children Under 5 in Poverty","Rank","UHF42","105","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","106","2009-13 ACS","8565","0"
"Children Under 5 in Poverty","Percent","UHF42","106","2009-13 ACS","50.7","0"
"Children Under 5 in Poverty","Rank","UHF42","106","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","107","2009-13 ACS","6540","0"
"Children Under 5 in Poverty","Percent","UHF42","107","2009-13 ACS","56.07","0"
"Children Under 5 in Poverty","Rank","UHF42","107","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","201","2009-13 ACS","5149","0"
"Children Under 5 in Poverty","Percent","UHF42","201","2009-13 ACS","50.28","0"
"Children Under 5 in Poverty","Rank","UHF42","201","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","202","2009-13 ACS","3791","0"
"Children Under 5 in Poverty","Percent","UHF42","202","2009-13 ACS","21.57","0"
"Children Under 5 in Poverty","Rank","UHF42","202","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","UHF42","203","2009-13 ACS","8679","0"
"Children Under 5 in Poverty","Percent","UHF42","203","2009-13 ACS","37.7","0"
"Children Under 5 in Poverty","Rank","UHF42","203","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","204","2009-13 ACS","7403","0"
"Children Under 5 in Poverty","Percent","UHF42","204","2009-13 ACS","48.94","0"
"Children Under 5 in Poverty","Rank","UHF42","204","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","205","2009-13 ACS","4053","0"
"Children Under 5 in Poverty","Percent","UHF42","205","2009-13 ACS","42.41","0"
"Children Under 5 in Poverty","Rank","UHF42","205","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","206","2009-13 ACS","11749","0"
"Children Under 5 in Poverty","Percent","UHF42","206","2009-13 ACS","38.15","0"
"Children Under 5 in Poverty","Rank","UHF42","206","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","207","2009-13 ACS","4845","0"
"Children Under 5 in Poverty","Percent","UHF42","207","2009-13 ACS","24.02","0"
"Children Under 5 in Poverty","Rank","UHF42","207","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","UHF42","208","2009-13 ACS","2037","0"
"Children Under 5 in Poverty","Percent","UHF42","208","2009-13 ACS","17.1","0"
"Children Under 5 in Poverty","Rank","UHF42","208","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","UHF42","209","2009-13 ACS","2436","0"
"Children Under 5 in Poverty","Percent","UHF42","209","2009-13 ACS","20.88","0"
"Children Under 5 in Poverty","Rank","UHF42","209","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","UHF42","210","2009-13 ACS","3705","0"
"Children Under 5 in Poverty","Percent","UHF42","210","2009-13 ACS","24.79","0"
"Children Under 5 in Poverty","Rank","UHF42","210","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","UHF42","211","2009-13 ACS","8073","0"
"Children Under 5 in Poverty","Percent","UHF42","211","2009-13 ACS","46.91","0"
"Children Under 5 in Poverty","Rank","UHF42","211","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","301","2009-13 ACS","5238","0"
"Children Under 5 in Poverty","Percent","UHF42","301","2009-13 ACS","35.3","0"
"Children Under 5 in Poverty","Rank","UHF42","301","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","302","2009-13 ACS","3992","0"
"Children Under 5 in Poverty","Percent","UHF42","302","2009-13 ACS","37.06","0"
"Children Under 5 in Poverty","Rank","UHF42","302","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","303","2009-13 ACS","2846","0"
"Children Under 5 in Poverty","Percent","UHF42","303","2009-13 ACS","45.22","0"
"Children Under 5 in Poverty","Rank","UHF42","303","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","UHF42","304","2009-13 ACS","696","0"
"Children Under 5 in Poverty","Percent","UHF42","304","2009-13 ACS","5.49","0"
"Children Under 5 in Poverty","Rank","UHF42","304","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","UHF42","305","2009-13 ACS","283","0"
"Children Under 5 in Poverty","Percent","UHF42","305","2009-13 ACS","2.47","0"
"Children Under 5 in Poverty","Rank","UHF42","305","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","UHF42","306","2009-13 ACS","570","0"
"Children Under 5 in Poverty","Percent","UHF42","306","2009-13 ACS","12.1","0"
"Children Under 5 in Poverty","Rank","UHF42","306","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","UHF42","307","2009-13 ACS","79","0"
"Children Under 5 in Poverty","Percent","UHF42","307","2009-13 ACS","1.64","0"
"Children Under 5 in Poverty","Rank","UHF42","307","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","UHF42","308","2009-13 ACS","148","0"
"Children Under 5 in Poverty","Percent","UHF42","308","2009-13 ACS","5.01","0"
"Children Under 5 in Poverty","Rank","UHF42","308","2009-13 ACS","1","0"
"Children Under 5 in Poverty","Number","UHF42","309","2009-13 ACS","1318","0"
"Children Under 5 in Poverty","Percent","UHF42","309","2009-13 ACS","20.13","0"
"Children Under 5 in Poverty","Rank","UHF42","309","2009-13 ACS","2","0"
"Children Under 5 in Poverty","Number","UHF42","310","2009-13 ACS","159","0"
